Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s),Parameter Usage,FLOPs
205,71.06,820,"0,7",0.305169011094958,0.694830988905042,427.66,11348800,576070500000
206,73.74000000000001,824,"6,5",0.370628547811008,0.629371452188992,429.76,11404160,578880600000
207,74.85000000000001,828,"4,2",0.2865251201889796,0.7134748798110204,431.84,11459520,581690700000
208,71.77,832,"1,4",0.38484214075283024,0.6151578592471697,433.93,11514880,584500800000
209,66.22,836,"8,2",0.5610520854127711,0.4389479145872289,436.02,11570240,587310900000
210,75.25,840,"6,3",0.4961697620834159,0.5038302379165841,438.11,11625600,590121000000
211,73.03,844,"4,0",0.5594921940677906,0.44050780593220945,440.2,11680960,592931100000
212,73.92999999999999,848,"9,7",0.506057807374614,0.493942192625386,442.26,11736320,595741200000
213,72.95,852,"1,2",0.48766028216924484,0.5123397178307552,444.36,11791680,598551300000
214,64.17,856,"3,2",0.6199889128923345,0.3800110871076655,446.45,11847040,601361400000
215,64.95,860,"4,3",0.48718793475983174,0.5128120652401682,448.56,11902400,604171500000
216,69.35,864,"2,6",0.5049423034818422,0.49505769651815773,450.64,11957760,606981600000
217,76.34,868,"0,1",0.41218748043996595,0.5878125195600341,452.72,12013120,609791700000
218,63.239999999999995,872,"9,3",0.4200596742724401,0.5799403257275598,454.82,12068480,612601800000
219,67.95,876,"4,1",0.4979927462227678,0.5020072537772322,456.9,12123840,615411900000
220,67.93,880,"1,2",0.6811037724457781,0.31889622755422187,458.99,12179200,618222000000
221,71.55,884,"8,6",0.4963055273682016,0.5036944726317983,461.09,12234560,621032100000
222,73.02,888,"1,2",0.38749297544920247,0.6125070245507975,463.17,12289920,623842200000
223,74.58,892,"8,5",0.5097597469099674,0.49024025309003255,465.26,12345280,626652300000
224,72.53,896,"9,0",0.4857243763276811,0.5142756236723189,467.32,12400640,629462400000
225,70.8,900,"1,8",0.4923438106760919,0.5076561893239081,469.39,12456000,632272500000
226,59.96,904,"9,5",0.24530766676162635,0.7546923332383737,471.49,12511360,635082600000
227,72.88,908,"1,7",0.4905251504175807,0.5094748495824193,473.58,12566720,637892700000
228,75.94,912,"3,4",0.4716919460781875,0.5283080539218126,475.67,12622080,640702800000
229,71.64,916,"7,4",0.600085298092889,0.39991470190711104,477.75,12677440,643512900000
230,60.980000000000004,920,"4,3",0.4213683146974658,0.5786316853025342,479.84,12732800,646323000000
231,68.54,924,"0,9",0.5044066944930627,0.4955933055069373,481.93,12788160,649133100000
232,75.28,928,"6,5",0.45464970840868607,0.5453502915913139,483.97,12843520,651943200000
233,61.22,932,"6,9",0.43958092546485117,0.5604190745351488,486.05,12898880,654753300000
234,59.46,936,"1,9",0.36990040882367115,0.6300995911763289,488.15,12954240,657563400000
235,73.07000000000001,940,"7,8",0.39795935865827275,0.6020406413417273,490.25,13009600,660373500000
236,67.51,944,"7,3",0.3660262618969513,0.6339737381030487,492.32,13064960,663183600000
237,65.64,948,"6,5",0.6002681382362707,0.3997318617637293,494.41,13120320,665993700000
238,56.84,952,"5,6",0.4950293783214002,0.5049706216785999,496.49,13175680,668803800000
239,64.63,956,"6,1",0.6961823681301236,0.30381763186987637,498.57,13231040,671613900000
240,70.36,960,"7,4",0.3562731581971273,0.6437268418028727,500.66,13286400,674424000000
241,67.05,964,"6,3",0.4425053958229581,0.5574946041770419,502.74,13341760,677234100000
242,73.41,968,"4,2",0.6669530440569826,0.33304695594301736,504.83,13397120,680044200000
243,67.17999999999999,972,"8,5",0.563950436721697,0.43604956327830297,506.89,13452480,682854300000
244,72.41,976,"1,7",0.4818000169007927,0.5181999830992073,508.98,13507840,685664400000
245,71.74000000000001,980,"2,0",0.5048743250557146,0.49512567494428533,511.05,13563200,688474500000
246,75.79,984,"0,6",0.5096528847232504,0.4903471152767496,513.14,13618560,691284600000
247,69.57,988,"7,6",0.7045578912625216,0.29544210873747845,515.24,13673920,694094700000
248,65.74,992,"2,8",0.5549193337862625,0.44508066621373754,517.31,13729280,696904800000
249,72.32,996,"4,6",0.4911378869139297,0.5088621130860703,519.4,13784640,699714900000
250,76.67,1000,"3,9",0.5663332439955231,0.4336667560044769,521.48,13840000,702525000000
251,76.05,1004,"6,1",0.4341209066957008,0.5658790933042992,523.56,13895360,705335100000
252,64.35,1008,"9,1",0.4178494925419042,0.5821505074580958,525.64,13950720,708145200000
253,72.52,1012,"9,4",0.592419426225389,0.407580573774611,527.73,14006080,710955300000
254,65.32,1016,"4,3",0.5183737249463359,0.48162627505366407,529.79,14061440,713765400000
255,67.64,1020,"4,5",0.4168988201978617,0.5831011798021383,531.88,14116800,716575500000
256,70.57,1024,"7,3",0.2778222329692716,0.7221777670307284,533.97,14172160,719385600000
257,60.129999999999995,1028,"3,4",0.5250581286842193,0.47494187131578064,536.07,14227520,722195700000
258,64.46,1032,"3,1",0.4378817849462613,0.5621182150537387,538.15,14282880,725005800000
259,74.92999999999999,1036,"2,0",0.6700115967512488,0.32998840324875117,540.22,14338240,727815900000
260,75.58,1040,"8,9",0.4852324619633278,0.5147675380366722,542.32,14393600,730626000000
261,72.52,1044,"1,8",0.5374415861761785,0.4625584138238215,544.42,14448960,733436100000
262,79.77,1048,"6,7",0.3518667105929289,0.6481332894070712,546.49,14504320,736246200000
263,64.41,1052,"7,8",0.4725329049088425,0.5274670950911575,548.58,14559680,739056300000
264,71.37,1056,"0,5",0.4430100410815988,0.5569899589184012,550.67,14615040,741866400000
265,74.07000000000001,1060,"0,4",0.4735768446826369,0.5264231553173632,552.75,14670400,744676500000
266,77.18,1064,"1,2",0.611913086297173,0.38808691370282705,554.85,14725760,747486600000
267,67.58,1068,"0,2",0.5376392597920703,0.4623607402079297,556.93,14781120,750296700000
268,76.0,1072,"8,3",0.4333606876100838,0.5666393123899163,559.03,14836480,753106800000
269,73.71,1076,"9,5",0.6296140998073387,0.37038590019266127,561.11,14891840,755916900000
270,73.61,1080,"8,6",0.4778553477093425,0.5221446522906574,563.2,14947200,758727000000
