Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s)
34,30.36,136,"8,4",0.44691355530573396,0.553086444694266,39.61
35,37.21,140,"8,6",0.1887706408842626,0.8112293591157375,40.68
36,10.13,144,"3,7",0.3917929957497433,0.6082070042502566,41.61
37,31.740000000000002,148,"4,0",0.5247787495419948,0.4752212504580053,42.66
38,10.58,152,"9,3",0.2111477370988147,0.7888522629011853,43.86
39,27.18,156,"0,4",0.5612560768414911,0.4387439231585088,44.99
40,39.1,160,"3,1",0.12505133339030608,0.874948666609694,46.2
41,9.01,164,"9,5",0.3017673745950279,0.6982326254049721,47.41
42,33.339999999999996,168,"4,1",0.5348852948891886,0.4651147051108115,48.42
43,11.42,172,"5,9",0.11544384795728967,0.8845561520427103,49.61
44,28.96,176,"4,1",0.5718574694658571,0.42814253053414286,50.63
45,30.43,180,"9,0",0.17596722363833978,0.8240327763616603,51.81
46,14.62,184,"5,8",0.19231758715937639,0.8076824128406236,52.87
47,35.980000000000004,188,"4,0",0.5271482605364997,0.47285173946350034,53.92
48,13.089999999999998,192,"9,5",0.1217791955049736,0.8782208044950264,55.14
49,36.61,196,"1,4",0.6243694095001674,0.37563059049983255,56.25
50,18.82,200,"9,5",0.07672351020470343,0.9232764897952965,57.46
51,37.019999999999996,204,"4,0",0.6811998162885604,0.3188001837114396,58.48
52,19.37,208,"9,5",0.08277889174323387,0.9172211082567662,59.66
53,36.720000000000006,212,"1,4",0.6907012604870345,0.3092987395129655,60.67
54,23.09,216,"5,9",0.0822003393117724,0.9177996606882276,61.88
55,37.68,220,"0,4",0.6629226793313737,0.3370773206686262,62.92
56,25.119999999999997,224,"9,5",0.07853302012504167,0.9214669798749583,64.18
57,37.29,228,"4,1",0.6629857711113301,0.33701422888867,65.25
58,35.96,232,"9,7",0.10111189716176448,0.8988881028382355,66.47
59,35.97,236,"5,4",0.1362835685719738,0.8637164314280262,67.45
60,34.01,240,"9,0",0.20032054129053795,0.7996794587094621,68.73
61,24.47,244,"5,9",0.13059054069347767,0.8694094593065224,69.82
62,36.559999999999995,248,"4,1",0.6520439974397108,0.34795600256028925,70.94
63,36.55,252,"9,8",0.06692696497764143,0.9330730350223586,72.15
64,21.75,256,"5,8",0.09320697531739637,0.9067930246826036,73.1
65,34.510000000000005,260,"4,9",0.41139812500333495,0.588601874996665,74.16
66,38.940000000000005,264,"7,9",0.14878524206503416,0.8512147579349658,75.31
67,15.329999999999998,268,"5,7",0.19502121964793462,0.8049787803520654,76.38
68,34.22,272,"9,1",0.3060604105995714,0.6939395894004285,77.47
69,22.1,276,"5,7",0.20170521969435387,0.7982947803056462,78.65
70,31.979999999999997,280,"8,4",0.20549771029001335,0.7945022897099866,79.71
71,42.620000000000005,284,"7,9",0.2185829249699745,0.7814170750300256,80.82
72,21.19,288,"5,7",0.18655556617064276,0.8134444338293573,81.89
73,32.300000000000004,292,"9,1",0.37259525236471286,0.6274047476352871,83.08
74,32.269999999999996,296,"9,0",0.23389328810532292,0.766106711894677,84.22
75,28.48,300,"5,7",0.30438682136679984,0.6956131786332002,85.34
76,36.42,304,"9,4",0.19028072670648477,0.8097192732935152,86.56
77,40.6,308,"6,7",0.13897735958226176,0.8610226404177382,87.67
78,37.97,312,"5,4",0.3676327934396159,0.632367206560384,88.63
79,24.64,316,"3,9",0.14688343302826395,0.8531165669717361,89.82
80,37.5,320,"1,5",0.21872473932746572,0.7812752606725343,90.92
81,23.419999999999998,324,"3,7",0.14591473107684388,0.8540852689231561,92.1
82,35.480000000000004,328,"9,1",0.28975269350988697,0.710247306490113,93.15
83,28.18,332,"3,8",0.1462330255733975,0.8537669744266024,94.25
84,40.150000000000006,336,"9,0",0.3414958906700023,0.6585041093299977,95.39
85,28.87,340,"3,8",0.22525778684140976,0.7747422131585903,96.6
86,42.15,344,"9,1",0.22296716364863264,0.7770328363513673,97.74
87,32.51,348,"8,3",0.12294848156173661,0.8770515184382633,99.01
88,38.93,352,"9,4",0.2694826564866465,0.7305173435133535,100.11
89,54.300000000000004,356,"6,7",0.19182605209163303,0.8081739479083669,101.25
90,37.75,360,"8,6",0.1215016732085108,0.8784983267914892,102.24
91,24.490000000000002,364,"8,5",0.10964948392086497,0.8903505160791351,103.27
92,38.97,368,"9,0",0.4345434740145353,0.5654565259854647,104.41
93,30.819999999999997,372,"8,3",0.0493615427492967,0.9506384572507033,105.64
94,46.64,376,"9,6",0.1429142056779517,0.8570857943220482,106.81
95,36.68,380,"6,8",0.08032880806822816,0.9196711919317718,107.84
96,26.05,384,"8,5",0.11212322442213361,0.8878767755778664,108.9
