Round,Accuracy_high_loss_x,Comm_high_loss_x,Accuracy_high_loss_y,Comm_high_loss_y,Accuracy_high_loss,Comm_high_loss
94,72.53,4,69.63000000000001,4,66.0,4
95,68.62,4,72.71,4,63.94,4
96,77.88000000000001,4,74.22999999999999,4,74.31,4
97,78.73,4,69.62,4,81.58,4
98,61.29,4,64.32,4,68.61,4
99,72.61999999999999,4,80.28999999999999,4,69.28,4
100,56.53,4,68.97,4,76.98,4
101,59.03,4,63.13999999999999,4,81.35,4
102,72.52,4,63.24999999999999,4,70.5,4
103,79.36,4,64.4,4,69.08999999999999,4
104,77.55,4,72.82,4,83.3,4
105,65.91,4,71.67,4,67.32000000000001,4
106,79.79,4,81.10000000000001,4,74.52,4
107,54.99000000000001,4,76.64999999999999,4,70.1,4
108,58.67,4,80.80000000000001,4,81.13,4
109,57.42,4,77.14999999999999,4,78.21000000000001,4
110,72.53,4,76.94,4,81.49,4
111,62.69,4,76.92,4,78.36,4
112,76.58,4,72.64,4,73.45,4
113,58.97,4,74.33,4,73.42999999999999,4
114,58.209999999999994,4,72.41,4,82.84,4
115,55.61000000000001,4,82.86,4,83.88,4
116,77.0,4,73.92,4,82.85,4
117,74.41,4,81.81,4,74.52,4
118,66.33,4,79.73,4,84.76,4
119,82.39,4,85.5,4,80.83,4
120,63.41,4,76.6,4,76.19,4
121,67.54,4,75.31,4,83.04,4
122,60.309999999999995,4,76.92999999999999,4,77.83,4
123,80.82000000000001,4,78.29,4,78.92,4
124,79.93,4,80.97,4,84.16,4
125,75.6,4,84.83000000000001,4,74.14,4
126,77.46,4,82.69,4,81.53,4
127,66.47999999999999,4,80.93,4,83.89,4
128,60.34,4,80.51,4,77.64,4
129,79.92,4,84.64,4,81.67999999999999,4
130,65.42999999999999,4,80.06,4,83.65,4
131,78.16,4,84.71,4,73.99,4
132,80.46,4,85.8,4,74.26,4
133,68.26,4,85.26,4,84.46000000000001,4
134,78.03,4,82.22,4,80.76,4
135,78.2,4,85.42,4,76.53,4
136,82.69999999999999,4,85.72,4,74.94,4
137,66.39,4,86.87,4,76.13,4
138,82.05,4,84.93,4,75.99000000000001,4
139,65.52,4,85.64,4,80.06,4
140,64.73,4,80.42,4,84.25,4
141,80.46,4,85.42999999999999,4,84.38,4
142,70.12,4,85.96000000000001,4,86.96000000000001,4
143,82.31,4,84.17999999999999,4,78.59,4
144,80.97999999999999,4,86.07000000000001,4,82.15,4
145,80.60000000000001,4,83.5,4,84.73,4
146,68.51,4,81.78999999999999,4,85.44,4
147,64.7,4,87.24,4,82.45,4
148,75.37,4,80.71000000000001,4,82.72,4
149,70.07,4,84.06,4,78.27,4
150,63.660000000000004,4,80.5,4,85.26,4
151,78.21000000000001,4,82.04,4,83.06,4
152,79.95,4,82.41000000000001,4,79.02,4
153,70.86,4,83.0,4,84.88,4
154,71.39999999999999,4,85.92,4,86.64,4
155,80.44,4,85.6,4,86.25,4
156,67.02,4,85.42,4,84.0,4
157,82.01,4,83.87,4,81.82000000000001,4
158,71.28999999999999,4,85.74000000000001,4,85.39999999999999,4
159,79.56,4,86.08,4,82.45,4
160,80.7,4,88.11,4,79.88,4
161,81.69,4,87.67,4,78.94,4
162,82.21000000000001,4,82.49,4,86.92,4
163,85.48,4,82.54,4,83.21,4
164,84.23,4,80.67,4,86.92,4
165,84.27,4,83.97,4,85.11,4
166,74.72999999999999,4,87.36,4,88.44999999999999,4
167,71.6,4,86.88,4,88.02,4
168,70.63000000000001,4,85.92,4,84.61999999999999,4
169,70.49,4,83.91999999999999,4,84.3,4
170,83.5,4,84.28,4,85.6,4
171,74.72,4,87.16000000000001,4,87.35000000000001,4
172,70.93,4,88.14,4,81.36,4
173,81.28,4,87.62,4,85.11999999999999,4
174,70.37,4,85.9,4,88.14999999999999,4
175,83.89,4,87.22999999999999,4,85.96000000000001,4
176,71.32,4,88.39,4,87.98,4
177,83.62,4,89.18,4,83.89,4
178,84.23,4,87.79,4,86.56,4
179,74.76,4,88.56,4,83.61,4
180,73.79,4,87.94,4,86.97,4
181,83.37,4,87.09,4,89.03,4
182,76.59,4,86.00999999999999,4,87.85,4
183,73.85000000000001,4,84.06,4,85.86,4
184,82.32000000000001,4,87.27000000000001,4,84.68,4
185,74.41,4,87.92,4,83.47,4
186,81.22,4,88.82,4,82.55,4
187,72.03,4,88.34,4,87.2,4
188,70.41,4,85.35000000000001,4,88.84,4
189,78.92,4,87.46000000000001,4,85.79,4
190,73.89,4,86.1,4,84.72,4
191,84.1,4,88.14,4,84.68,4
192,73.28,4,85.22,4,87.72,4
193,83.56,4,87.14,4,84.86,4
194,84.39999999999999,4,88.56,4,88.28,4
195,76.03,4,86.92999999999999,4,87.16000000000001,4
196,74.8,4,87.56,4,89.55,4
197,82.12,4,86.98,4,86.64,4
198,82.14,4,88.44,4,87.48,4
199,85.52,4,88.03999999999999,4,85.96000000000001,4
200,76.02,4,86.56,4,88.59,4
