Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff
35,85.15,140,"0,3",0.47575637207553395,0.524243627924466
36,85.42,144,"7,1",0.44830946508891695,0.5516905349110831
37,85.68,148,"1,7",0.5690731828469342,0.4309268171530658
38,84.89999999999999,152,"6,2",0.3222272109310237,0.6777727890689763
39,85.8,156,"2,6",0.5757903845817468,0.4242096154182532
40,86.61999999999999,160,"1,7",0.5103558543550395,0.48964414564496045
41,88.27000000000001,164,"4,1",0.438403423955276,0.561596576044724
42,81.89999999999999,168,"3,7",0.31807309286830254,0.6819269071316975
43,87.19,172,"1,6",0.4003543519065541,0.5996456480934459
44,87.94999999999999,176,"6,1",0.4857240023593194,0.5142759976406805
45,88.34,180,"7,0",0.5820733835812584,0.4179266164187416
46,88.05,184,"6,1",0.3524491366810111,0.6475508633189889
47,87.67,188,"0,5",0.42968601642019677,0.5703139835798032
48,87.66000000000001,192,"6,9",0.38263899256859263,0.6173610074314073
49,89.14,196,"0,1",0.5800800121014859,0.41991998789851415
50,89.18,200,"0,1",0.4306543307985554,0.5693456692014446
51,89.32,204,"0,7",0.5651723324503974,0.43482766754960256
52,89.25999999999999,208,"0,1",0.35101980880423345,0.6489801911957666
53,89.3,212,"6,1",0.49739098935344234,0.5026090106465577
54,88.56,216,"1,6",0.4254003668889617,0.5745996331110382
55,87.61,220,"7,4",0.24282093550803735,0.7571790644919626
56,89.92,224,"2,0",0.3968429884631163,0.6031570115368837
57,90.14999999999999,228,"8,7",0.4817933201410229,0.5182066798589771
58,90.07,232,"0,6",0.27205584763529617,0.7279441523647039
59,89.94,236,"1,6",0.46402581139096055,0.5359741886090394
60,90.06,240,"4,3",0.25001839334500997,0.74998160665499
61,90.28,244,"0,7",0.4084047648579647,0.5915952351420353
62,88.7,248,"8,4",0.24324509365665986,0.7567549063433401
63,90.72,252,"7,6",0.2833540997242045,0.7166459002757954
64,90.48,256,"0,1",0.3014320971941572,0.6985679028058428
65,90.56,260,"7,0",0.4686793494513905,0.5313206505486094
66,91.01,264,"7,6",0.38142940185243707,0.6185705981475629
67,90.52,268,"4,0",0.4680389386272381,0.5319610613727619
68,90.11,272,"9,5",0.2618871384903293,0.7381128615096707
69,89.05999999999999,276,"7,4",0.4080899520047716,0.5919100479952284
70,90.58,280,"0,6",0.23428351543282855,0.7657164845671715
71,90.98,284,"0,8",0.38475522801422063,0.6152447719857793
72,89.42,288,"3,7",0.3470888021102937,0.6529111978897063
73,91.16,292,"6,7",0.4358158259046958,0.5641841740953042
74,90.82000000000001,296,"7,0",0.41717836038959005,0.5828216396104099
75,89.68,300,"3,6",0.22161965879450865,0.7783803412054914
76,90.89,304,"0,6",0.3469287356652622,0.6530712643347377
77,90.49000000000001,308,"2,6",0.36387220415975396,0.636127795840246
78,90.86999999999999,312,"6,1",0.5159380634900479,0.48406193650995205
79,90.97,316,"0,6",0.231587416611534,0.768412583388466
80,91.03,320,"0,6",0.20585586812241413,0.7941441318775859
81,90.85,324,"7,1",0.5559382413890259,0.444061758610974
82,91.02,328,"1,2",0.3716230149758856,0.6283769850241143
83,90.44,332,"5,4",0.418198674823127,0.581801325176873
84,90.78,336,"2,6",0.22601517775747115,0.7739848222425288
85,90.63,340,"2,6",0.3710583421146689,0.6289416578853311
86,91.06,344,"7,6",0.3930946234523479,0.6069053765476521
87,90.99000000000001,348,"0,6",0.4603214409653847,0.5396785590346153
88,90.93,352,"6,0",0.24825202554717243,0.7517479744528276
89,90.95,356,"0,7",0.3936576421182119,0.606342357881788
90,90.92,360,"1,6",0.4004405026100029,0.599559497389997
91,90.84,364,"5,0",0.3380029939039406,0.6619970060960594
92,91.09,368,"7,6",0.41176479085603923,0.5882352091439608
93,90.33,372,"3,6",0.3314169046712693,0.6685830953287307
94,90.91,376,"1,6",0.37889200189326744,0.6211079981067326
95,91.01,380,"1,3",0.3192331757525604,0.6807668242474396
96,90.83,384,"3,2",0.277663705865785,0.722336294134215
97,90.94,388,"1,6",0.46591239325153005,0.5340876067484699
98,90.79,392,"2,5",0.23499487032700322,0.7650051296729968
99,90.84,396,"2,3",0.3699264956996795,0.6300735043003205
