Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Accuracy - SVD,Total communication counts - SVD,Selected Clients,GRC Weight - Loss - SVD,GRC Weight - Diff - SVD
133,53.47,532,"5,4",0.415877456,0.584122544,64.19,532,"6,9",0.213500812,0.786499188
134,48.84,536,"3,2",0.423642463,0.576357537,25.55,536,"7,2",0.146180413,0.853819587
135,51.43,540,"1,2",0.59824815,0.40175185,48.95,540,"9,4",0.415315014,0.584684986
136,52.28,544,"0,5",0.572713298,0.427286702,60.82,544,"6,9",0.158065174,0.841934826
137,53.01,548,"8,4",0.389671656,0.610328344,51.44,548,"7,3",0.115748839,0.884251161
138,67.59,552,"7,6",0.29935583,0.70064417,65.01,552,"8,9",0.163535455,0.836464545
139,48.16,556,"5,2",0.345951391,0.654048609,50.51,556,"5,2",0.184571687,0.815428313
140,54.68,560,"4,3",0.33148757,0.66851243,63.97,560,"6,1",0.071790874,0.928209126
141,53.18,564,"0,2",0.510048638,0.489951362,27.89,564,"2,7",0.199027624,0.800972376
142,50.75,568,"1,3",0.507376931,0.492623069,51.51,568,"9,4",0.304424152,0.695575848
143,51.53,572,"5,2",0.333660017,0.666339983,65.29,572,"9,6",0.168622384,0.831377616
144,52.7,576,"3,4",0.392322036,0.607677964,53.23,576,"7,3",0.097978053,0.902021947
145,50.22,580,"2,5",0.467992111,0.532007889,71.48,580,"8,7",0.314409889,0.685590111
146,50.77,584,"8,0",0.41386473,0.58613527,58.79,584,"8,9",0.113360473,0.886639527
147,50.75,588,"5,4",0.636101167,0.363898833,28.18,588,"2,7",0.133638214,0.866361786
148,37.27,592,"8,3",0.349763896,0.650236104,63.63,592,"6,1",0.319794071,0.680205929
149,51.72,596,"2,1",0.421246507,0.578753493,30.31,596,"2,7",0.185879711,0.814120289
150,51.98,600,"5,2",0.532227702,0.467772298,61.53,600,"6,9",0.329054933,0.670945067
151,53.19,604,"4,3",0.437026923,0.562973077,30.91,604,"2,7",0.147117082,0.852882918
