Round,Accuracy_NoFreeze,TotalComm_NoFreeze,AvgTFlops_NoFreeze,Accuracy_Freeze,TotalComm_Freeze,AvgTFlops_Freeze
65,49.09,260,1393240.0,67.05,260,1192640.0
66,54.2,264,1393240.0,55.55,264,1192640.0
67,71.39999999999999,268,1393240.0,56.699999999999996,268,1192640.0
68,62.029999999999994,272,1393240.0,70.35,272,1192640.0
69,65.89,276,1393240.0,74.35000000000001,276,1192640.0
70,61.77,280,1393240.0,56.32,280,1192640.0
71,58.91,284,1393240.0,64.88000000000001,284,1192640.0
72,55.36,288,1393240.0,64.59,288,1192640.0
73,62.970000000000006,292,1393240.0,64.97,292,1192640.0
74,52.05,296,1393240.0,63.82,296,1192640.0
75,60.8,300,1393240.0,69.19,300,1192640.0
76,53.68000000000001,304,1393240.0,64.25999999999999,304,1192640.0
77,56.99999999999999,308,1393240.0,64.42,308,1192640.0
78,60.68,312,1393240.0,56.58,312,1192640.0
79,67.01,316,1393240.0,66.25,316,1192640.0
80,59.36,320,1393240.0,78.21000000000001,320,1192640.0
81,56.85,324,1393240.0,75.6,324,1192640.0
82,62.980000000000004,328,1393240.0,80.78999999999999,328,1192640.0
83,65.47,332,1393240.0,73.44000000000001,332,1192640.0
