Round,Accuracy_fedGRA,Comm_fedGRA,Accuracy_high_loss_x,Comm_high_loss_x,Accuracy_high_loss_y,Comm_high_loss_y
106,56.65,4,67.5,4,78.97999999999999,4
107,45.4,4,70.63000000000001,4,76.68,4
108,57.06,4,71.56,4,81.43,4
109,52.09,4,78.66,4,68.34,4
110,58.35,4,81.87,4,70.67,4
111,55.010000000000005,4,81.64,4,73.83999999999999,4
112,64.53999999999999,4,82.06,4,82.23,4
113,63.849999999999994,4,73.15,4,82.78,4
114,75.57000000000001,4,67.63,4,73.99,4
115,68.04,4,81.01,4,80.91000000000001,4
116,72.57000000000001,4,73.71,4,80.75,4
117,68.16,4,82.92,4,78.61,4
118,70.76,4,84.02,4,79.80000000000001,4
119,73.59,4,84.88,4,71.75,4
120,70.41,4,75.69,4,84.99,4
121,61.89,4,77.46,4,84.22,4
122,61.419999999999995,4,72.49,4,78.28,4
123,72.44,4,73.32,4,80.63,4
124,73.42,4,66.69,4,76.83,4
125,68.39,4,72.36,4,75.06,4
126,68.8,4,70.67,4,78.36999999999999,4
127,68.0,4,75.25,4,75.78,4
128,69.85,4,80.63,4,74.21,4
129,77.61,4,86.59,4,75.08,4
130,74.00999999999999,4,83.25,4,77.75,4
131,69.47,4,84.25,4,73.78,4
132,68.89999999999999,4,77.63,4,80.14,4
133,71.52,4,82.39999999999999,4,78.0,4
134,72.95,4,76.29,4,79.17999999999999,4
135,78.13,4,76.83,4,83.39999999999999,4
136,79.71000000000001,4,83.7,4,78.4,4
137,80.84,4,86.5,4,86.1,4
138,73.0,4,81.35,4,76.52,4
139,72.27,4,77.42,4,82.62,4
140,77.59,4,80.5,4,85.95,4
141,72.64,4,85.82,4,88.77000000000001,4
142,71.56,4,77.45,4,87.91,4
143,70.73,4,86.79,4,83.2,4
144,74.44,4,78.44,4,87.26,4
145,73.08,4,79.99000000000001,4,83.8,4
146,74.24,4,77.59,4,86.36,4
147,79.27,4,85.5,4,88.09,4
148,78.10000000000001,4,86.77,4,86.9,4
149,77.62,4,86.2,4,88.4,4
150,76.99000000000001,4,88.59,4,85.39,4
151,79.82000000000001,4,88.83,4,84.7,4
152,81.16,4,88.37,4,85.14,4
153,75.88000000000001,4,88.22,4,83.65,4
154,75.36,4,87.83,4,80.08,4
155,78.02,4,81.17,4,77.24,4
156,80.10000000000001,4,87.83999999999999,4,76.03,4
157,81.77,4,82.58,4,86.64,4
158,78.44,4,85.42,4,85.65,4
159,77.10000000000001,4,87.55,4,78.32000000000001,4
160,79.23,4,83.89,4,81.94,4
161,80.36,4,80.65,4,84.2,4
162,77.39,4,85.81,4,86.28,4
163,74.67,4,82.96,4,85.38,4
164,75.46000000000001,4,81.32000000000001,4,85.24000000000001,4
165,79.05,4,89.05,4,83.16,4
166,87.37,4,89.08,4,84.17999999999999,4
167,80.54,4,88.3,4,87.64999999999999,4
168,81.89,4,85.92999999999999,4,83.62,4
169,84.65,4,82.78,4,87.07000000000001,4
170,78.60000000000001,4,83.89,4,87.99,4
171,84.17,4,81.69,4,86.96000000000001,4
172,85.94000000000001,4,88.0,4,85.58,4
173,85.44,4,85.22,4,86.04,4
174,82.23,4,85.56,4,87.11,4
175,84.15,4,88.16000000000001,4,89.07000000000001,4
176,84.74000000000001,4,87.22999999999999,4,88.33,4
177,85.33,4,83.7,4,88.79,4
178,83.62,4,88.12,4,90.25999999999999,4
179,81.85,4,90.22,4,88.99000000000001,4
180,83.36,4,87.53999999999999,4,88.14999999999999,4
181,86.25,4,86.36,4,87.14,4
182,86.17,4,88.61,4,89.03999999999999,4
183,85.15,4,83.17999999999999,4,87.15,4
184,84.06,4,83.07,4,86.45,4
185,83.50999999999999,4,85.74000000000001,4,88.22,4
186,85.33,4,88.71,4,87.75,4
187,86.94,4,84.47,4,89.24,4
188,86.99,4,85.88,4,86.87,4
189,87.88,4,85.61999999999999,4,89.49000000000001,4
190,84.57000000000001,4,89.05,4,90.45,4
