Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff
192,44.34,768,"9,5",0.3498019795687888,0.6501980204312112
193,55.559999999999995,772,"3,4",0.4660685565122371,0.5339314434877629
194,49.85,776,"2,6",0.43941324827962147,0.5605867517203785
195,53.800000000000004,780,"3,4",0.5132302184396069,0.4867697815603931
196,56.21000000000001,784,"5,1",0.5448060963421183,0.45519390365788165
197,53.779999999999994,788,"3,0",0.5039840850920365,0.49601591490796354
198,48.18,792,"2,8",0.2713236773102078,0.7286763226897922
199,54.96,796,"5,3",0.4167686512157692,0.5832313487842308
200,54.99000000000001,800,"0,6",0.415148591221202,0.584851408778798
201,55.779999999999994,804,"2,4",0.5604405962613023,0.43955940373869773
202,47.17,808,"7,5",0.304680845752344,0.695319154247656
203,55.92,812,"2,3",0.5342803722112033,0.4657196277887968
204,56.85,816,"8,1",0.4277065194496476,0.5722934805503523
205,47.11,820,"9,3",0.3813163313100117,0.6186836686899883
206,55.52,824,"4,2",0.6120377758040659,0.3879622241959341
207,56.66,828,"5,1",0.456898884121132,0.543101115878868
208,54.84,832,"0,3",0.5602551418309486,0.43974485816905134
209,47.82,836,"5,7",0.4022359379295171,0.5977640620704828
210,61.79,840,"6,8",0.3134325490412858,0.6865674509587142
211,60.69,844,"2,5",0.30971981834375656,0.6902801816562435
212,56.11000000000001,848,"9,4",0.2991656523830275,0.7008343476169725
213,48.57,852,"2,7",0.4151896540974274,0.5848103459025726
214,58.489999999999995,856,"6,0",0.33366100791520326,0.6663389920847967
215,59.64,860,"3,5",0.5161313580275659,0.48386864197243407
216,61.29,864,"0,9",0.4285999603475334,0.5714000396524666
217,56.55,868,"5,4",0.49287054140075065,0.5071294585992494
218,47.49,872,"6,2",0.46211563278057305,0.5378843672194269
219,59.39,876,"0,1",0.527067162655703,0.472932837344297
220,47.85,880,"7,5",0.42728218795123313,0.5727178120487669
221,61.040000000000006,884,"8,9",0.33458544708202154,0.6654145529179785
222,60.150000000000006,888,"3,1",0.4538678533746653,0.5461321466253347
223,61.629999999999995,892,"5,2",0.41218322852347167,0.5878167714765283
224,57.31,896,"3,4",0.3590883884039149,0.6409116115960851
225,55.16,900,"2,5",0.4630152826857923,0.5369847173142077
226,48.61,904,"6,3",0.30972358909396647,0.6902764109060335
227,55.55,908,"1,4",0.573356553419198,0.42664344658080205
228,59.01,912,"0,8",0.3809661261235612,0.6190338738764388
229,55.21,916,"5,3",0.5279361632170223,0.47206383678297775
230,51.519999999999996,920,"2,6",0.4235839566939943,0.5764160433060057
231,54.99000000000001,924,"3,1",0.686630236069274,0.313369763930726
232,49.38,928,"8,2",0.41587208641026574,0.5841279135897343
233,55.03,932,"5,3",0.48674354953184334,0.5132564504681567
234,55.82,936,"4,7",0.4515303232434912,0.5484696767565088
235,48.309999999999995,940,"9,3",0.3643684713799213,0.6356315286200787
236,55.1,944,"9,0",0.41017272107865005,0.5898272789213499
237,53.790000000000006,948,"6,4",0.4010409642090297,0.5989590357909703
238,51.31,952,"2,9",0.36630140391857857,0.6336985960814214
239,57.410000000000004,956,"5,3",0.559824899621833,0.44017510037816693
240,58.209999999999994,960,"8,1",0.40421265154656216,0.5957873484534378
241,56.13,964,"5,3",0.6273424607825231,0.3726575392174769
242,53.65,968,"2,6",0.4180701532908233,0.5819298467091767
243,57.25,972,"3,0",0.6833080616250032,0.3166919383749967
244,55.19,976,"5,2",0.4738658530249739,0.5261341469750261
245,68.62,980,"7,8",0.36755182964996747,0.6324481703500325
246,61.21,984,"2,5",0.34722205887379604,0.6527779411262039
247,63.4,988,"6,1",0.4670880326474861,0.5329119673525139
248,53.71,992,"7,3",0.37745771679419066,0.6225422832058093
249,61.660000000000004,996,"4,1",0.45994359109536326,0.5400564089046367
250,59.81999999999999,1000,"2,5",0.3731393167258656,0.6268606832741344
251,60.150000000000006,1004,"3,0",0.5077029827512766,0.4922970172487234
252,58.709999999999994,1008,"4,5",0.48854887162990285,0.5114511283700971
253,62.129999999999995,1012,"9,6",0.4011726024433289,0.5988273975566711
254,63.660000000000004,1016,"4,1",0.4969992879375463,0.5030007120624538
255,52.31,1020,"8,5",0.24265170065560585,0.7573482993443942
256,60.62,1024,"2,3",0.4424924018266373,0.5575075981733627
257,57.3,1028,"4,2",0.5737507873685338,0.42624921263146626
258,59.040000000000006,1032,"5,0",0.5703553734906711,0.4296446265093289
259,58.309999999999995,1036,"3,1",0.5046248662573329,0.4953751337426671
260,56.49999999999999,1040,"5,2",0.4767714378135716,0.5232285621864283
261,51.849999999999994,1044,"3,9",0.4591804835653643,0.5408195164346358
262,57.54,1048,"2,1",0.46175167231341874,0.5382483276865813
263,51.62,1052,"5,6",0.3696687924465172,0.6303312075534828
264,54.410000000000004,1056,"8,3",0.31088435009116544,0.6891156499088346
265,56.8,1060,"2,4",0.5348787254538147,0.4651212745461854
266,62.44,1064,"9,7",0.3830482596701262,0.6169517403298739
267,63.17,1068,"4,3",0.3247928201407319,0.675207179859268
268,62.36000000000001,1072,"5,2",0.39152086158392024,0.6084791384160798
269,59.3,1076,"4,8",0.3791476745340485,0.6208523254659515
270,52.26,1080,"7,3",0.5101316150663473,0.4898683849336527
271,58.91,1084,"2,4",0.6131397233169973,0.38686027668300266
272,62.25000000000001,1088,"0,9",0.41232887096070536,0.5876711290392946
