Round,LoRA_Accuracy,LoRA_Comm,LoRA_Loss,LoRA_SelectedClients,LoRA_TFLOPs,Original_Accuracy,Original_Comm,Original_Loss,Original_SelectedClients,Original_TFLOPs
41,28.720000000000002,32,2.6648573646911036,"[8, 1]",0.001197168176884422,33.739999999999995,36.0,2.383161131566325,"[9, 3]",0.0030431665518248
42,25.85,34,2.7014133914971885,"[8, 3]",0.0012586077512452831,26.66,44.0,3.258346708437886,"[7, 3]",0.004365589713089
43,25.5,42,2.7132689823357823,"[8, 6]",0.0012586077512452831,24.28,44.0,3.3129661433612956,"[2, 7]",0.0036813582128035
44,28.68,28,2.31588175464362,"[5, 4]",0.0012280230268041238,29.03,48.0,3.1004027501462748,"[7, 0]",0.0036491362590809
45,26.36,44,2.3817031482538096,"[3, 0]",0.0012652923144157815,35.160000000000004,52.0,2.9133041129706387,"[6, 3]",0.0026854352180354
46,26.090000000000003,32,3.0095186172582853,"[5, 4]",0.0012788767411042944,32.47,30.0,2.1666650714965674,"[8, 4]",0.0036571387508771
47,37.580000000000005,40,1.9939122005773429,"[1, 2]",0.0010601749970756515,39.900000000000006,36.0,1.9000091107127768,"[6, 1]",0.0031584380121212
48,35.33,38,2.0260211335965237,"[1, 7]",0.0015064636588979223,28.9,42.0,2.0410691831058587,"[4, 9]",0.0030376234433515
49,32.440000000000005,48,2.681025762908375,"[0, 7]",0.0015469900467532467,26.75,42.0,2.546406199376042,"[2, 9]",0.0039896059100478
50,35.28,36,2.8422735796188014,"[5, 4]",0.0011945954659025788,29.21,52.0,2.2186574509349493,"[3, 4]",0.0035786593785407
51,36.55,48,2.48748555122473,"[6, 2]",0.0011869432529537367,28.749999999999996,46.0,2.664224004974,"[2, 9]",0.0049632597333333
52,39.86,52,2.0066776024266932,"[0, 8]",0.0012917546633617351,26.58,44.0,2.306750914921014,"[5, 3]",0.0029886295168458
53,30.48,42,2.146990468326849,"[2, 9]",0.0011290827829383886,28.35,50.0,2.7810048382884016,"[9, 2]",0.0037901256145454
54,30.830000000000002,46,2.061862328943734,"[6, 3]",0.001183573648261178,33.239999999999995,32.0,2.0806744951790512,"[0, 1]",0.0036571387508771
55,33.410000000000004,48,2.1265556221952835,"[4, 8]",0.0012049532300578035,30.91,56.0,2.313953532197605,"[2, 4]",0.003816144783524
56,28.63,50,2.098793463965955,"[9, 0]",0.001198028211494253,44.26,56.0,2.0486089459623393,"[9, 4]",0.0046195436853185
57,25.39,56,2.2064795901600163,"[0, 3]",0.001325640119554849,27.01,62.0,2.9697101207586902,"[4, 2]",0.0036571387508771
58,22.28,52,2.163496778034174,"[0, 5]",0.0012548196165537999,26.9,60.0,2.9755541550846525,"[0, 4]",0.0027204816809135
59,39.77,48,1.9651087701511079,"[4, 7]",0.00130285568,29.99,46.0,2.719237077731294,"[9, 5]",0.003396446579226
60,28.37,48,2.0210545866634138,"[9, 4]",0.0011044074638410597,38.6,42.0,2.030215488455166,"[1, 6]",0.0037141542770601
61,25.629999999999995,56,2.4343099643628054,"[4, 8]",0.0012739918032085562,33.0,56.0,2.599388643956413,"[4, 5]",0.0042326275898477
62,23.43,40,2.5942747909040116,"[5, 9]",0.0012380514256867111,33.0,40.0,1.8830557707399609,"[9, 8]",0.0038692697689095
63,44.84,50,1.4458111577902357,"[2, 1]",0.0012226211659824046,24.49,50.0,2.6079400069416523,"[8, 4]",0.0037475399334831
64,34.37,52,1.995543081920368,"[7, 8]",0.001191182336,33.800000000000004,26.0,2.2444315790749205,"[1, 8]",0.003496132642348
65,36.309999999999995,48,1.759201471417095,"[1, 9]",0.0012739918032085562,31.929999999999996,44.0,2.414041943443469,"[8, 0]",0.0028952348444444
66,35.76,56,2.4385342346593593,"[2, 9]",0.001425346384957265,35.06,52.0,2.269208806391341,"[0, 5]",0.0047376570181818
67,29.7,48,2.185010902797833,"[5, 6]",0.0012426641359165424,49.13,62.0,1.4804644862683818,"[6, 7]",0.0029257110007017
68,42.36,54,1.7925652924437112,"[3, 8]",0.0012510542163540884,39.25,54.0,1.811910218133713,"[5, 3]",0.0036253375443478
69,34.839999999999996,54,1.709065837220262,"[4, 5]",0.0012163787530269875,47.36,50.0,1.7747994200490154,"[1, 6]",0.0038513978531177
70,23.05,58,2.871108138904023,"[5, 4]",0.0012576585749622927,35.89,54.0,2.336349049315285,"[6, 1]",0.0038513978531177
71,33.129999999999995,70,1.9691633149838677,"[8, 0]",0.0012529340874530429,47.58,72.0,1.682550612920389,"[9, 4]",0.0044709256579088
72,41.97,60,1.785331415292173,"[8, 1]",0.0012691440414003045,26.75,44.0,1.981711919315326,"[8, 5]",0.003396446579226
73,43.46,58,1.7614081869490992,"[6, 1]",0.0012049532300578035,49.75,64.0,1.3263567975534798,"[2, 0]",0.0027794254506666
74,38.84,60,2.040461158600097,"[9, 6]",0.0012491799778277153,29.42,68.0,2.165768501857599,"[0, 2]",0.0025855120471317
75,43.16,56,1.634354172423244,"[7, 1]",0.0011329179826086956,28.4,68.0,1.9574593823557844,"[6, 5]",0.0030321004916363
76,38.75,60,2.069652010457584,"[1, 7]",0.0012307418969741697,26.540000000000003,66.0,2.4681960671854477,"[0, 5]",0.002860472161921
77,46.07,66,1.6926519251859988,"[2, 6]",0.0011430125225496916,31.840000000000003,52.0,2.045539975166321,"[5, 8]",0.0042326275898477
78,37.6,70,2.262082952280014,"[2, 6]",0.0010892588310907904,34.01,76.0,2.0142728863432766,"[9, 6]",0.0027610186596026
79,45.769999999999996,76,1.6841581149603992,"[8, 0]",0.001190332098786581,44.45,40.0,1.59570802172152,"[8, 1]",0.0027204816809135
80,41.27,64,1.925008027317425,"[5, 6]",0.0009962098389486261,36.79,44.0,2.0509362746351445,"[1, 8]",0.0042326275898477
81,43.76,66,1.4825327188823931,"[4, 9]",0.0012538761431578947,47.21,68.0,1.8451230194621957,"[3, 9]",0.0029463874035335
82,50.129999999999995,70,1.3907902602570505,"[2, 1]",0.00126146389591528,35.56,60.0,2.000163946288843,"[5, 8]",0.0036813582128035
83,50.5,62,1.6667671451172508,"[9, 7]",0.0012576585749622927,44.52,80.0,1.532053197344271,"[6, 2]",0.003586355420215
84,39.17,66,1.9030252898843905,"[8, 5]",0.0012426641359165424,46.71,60.0,1.4130202366140323,"[0, 1]",0.0031825482259541
85,44.36,60,1.562940051570868,"[9, 3]",0.001263375204848485,41.65,76.0,1.932417547360015,"[0, 5]",0.003496132642348
86,39.33,82,1.6370840710572923,"[8, 0]",0.0016159450294573644,46.0,80.0,1.608392421049051,"[3, 6]",0.0037815312253968
87,35.43,60,1.9457479406850406,"[3, 7]",0.0012244164980910427,46.83,62.0,1.791455867191473,"[9, 1]",0.0031584380121212
88,40.339999999999996,82,1.7616216667924827,"[8, 6]",0.001290754853250774,44.35,84.0,2.12769219593499,"[6, 3]",0.0027610186596026
89,38.64,82,1.8626866881458903,"[2, 8]",0.0012798582274750575,46.19,64.0,1.834900476681158,"[5, 1]",0.0036411687126637
90,31.59,90,2.115144734184582,"[8, 0]",0.001295769440870241,54.65,66.0,1.570103281793503,"[1, 2]",0.004568918549041
91,47.71,68,1.5370300606416818,"[3, 4]",0.0012244164980910427,51.74999999999999,80.0,1.5493546901419522,"[4, 3]",0.003518260064135
92,48.94,80,1.572988624389941,"[8, 3]",0.0013110497408805031,39.28,80.0,2.063699189085549,"[2, 3]",0.004568918549041
93,46.81,86,1.76848376082917,"[4, 0]",0.001126033268332208,48.38,90.0,1.7710425130094585,"[6, 9]",0.0039055158557377
94,39.0,80,1.8545977408512713,"[8, 5]",0.0012463791258594918,37.7,84.0,2.38776331168775,"[3, 9]",0.0036411687126637
95,44.800000000000004,84,1.8017242813643557,"[4, 6]",0.0012307418969741697,52.580000000000005,70.0,1.4061232847146714,"[0, 8]",0.0046195436853185
96,39.72,88,1.6643542018942177,"[2, 0]",0.0012380514256867111,49.370000000000005,96.0,1.5974520300143062,"[4, 6]",0.0029257110007017
97,37.41,78,1.981935872437474,"[3, 4]",0.0012501163946026987,41.97,74.0,1.8090338447985177,"[3, 8]",0.0044234887809018
98,41.42,70,2.172075828424277,"[3, 7]",0.0013172632467614534,52.77,70.0,1.2859798007118055,"[1, 5]",0.0039706077866666
99,42.96,96,1.8970398659142442,"[4, 0]",0.0012510542163540884,36.73,88.0,2.2282667632301014,"[5, 4]",0.0035482027029787
100,49.17,96,1.6355445697284734,"[0, 6]",0.0011735786561576354,46.6,78.0,1.996472861058415,"[8, 3]",0.0035786593785407
