Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Global Use LoRA,Selection Use LoRA,Training Use LoRA,LoRA Rank,LoRA Alpha
70,66.97999999999999,280,"3,0",0.25443924633411225,0.7455607536658878,False,False,False,8,0.5
71,68.01,284,"5,2",0.25430259464062116,0.7456974053593788,False,False,False,8,0.5
72,66.83,288,"6,9",0.3079443738947062,0.6920556261052938,False,False,False,8,0.5
73,58.48,292,"7,5",0.29306305655545234,0.7069369434445477,False,False,False,8,0.5
74,67.29,296,"9,4",0.2430402150297736,0.7569597849702264,False,False,False,8,0.5
75,69.24,300,"7,5",0.28315781765459885,0.7168421823454012,False,False,False,8,0.5
76,68.96,304,"9,3",0.25586814934062935,0.7441318506593707,False,False,False,8,0.5
77,66.11,308,"5,4",0.30124392184530707,0.698756078154693,False,False,False,8,0.5
78,72.39,312,"9,2",0.3174631806869406,0.6825368193130594,False,False,False,8,0.5
79,77.49000000000001,316,"8,4",0.22712391419706976,0.7728760858029302,False,False,False,8,0.5
80,73.87,320,"4,1",0.7456855159602948,0.25431448403970525,False,False,False,8,0.5
81,60.78,324,"4,8",0.5719739774885919,0.4280260225114081,False,False,False,8,0.5
82,66.47999999999999,328,"4,3",0.658527059067412,0.3414729409325879,False,False,False,8,0.5
83,56.57,332,"4,8",0.5844350733171133,0.41556492668288675,False,False,False,8,0.5
84,69.57,336,"4,6",0.6501270313401035,0.34987296865989653,False,False,False,8,0.5
85,67.91,340,"6,1",0.7099108755406088,0.2900891244593911,False,False,False,8,0.5
86,63.81,344,"1,6",0.6518728666891747,0.34812713331082534,False,False,False,8,0.5
87,61.56,348,"1,6",0.6998004466469198,0.30019955335308024,False,False,False,8,0.5
88,58.9,352,"1,6",0.6194834843107359,0.38051651568926415,False,False,False,8,0.5
89,56.910000000000004,356,"1,6",0.6391799242077719,0.3608200757922281,False,False,False,8,0.5
90,55.43,360,"1,6",0.5520768475719988,0.4479231524280012,False,False,False,8,0.5
91,54.379999999999995,364,"1,6",0.562581611975805,0.4374183880241949,False,False,False,8,0.5
92,55.559999999999995,368,"1,2",0.5312889228182389,0.4687110771817611,False,False,False,8,0.5
93,64.09,372,"1,2",0.721893681533908,0.278106318466092,False,False,False,8,0.5
94,64.68,376,"1,8",0.6429610730371974,0.35703892696280265,False,False,False,8,0.5
95,71.27,380,"1,3",0.5803905561132061,0.41960944388679394,False,False,False,8,0.5
96,65.07,384,"1,3",0.6658026090145917,0.3341973909854084,False,False,False,8,0.5
97,60.870000000000005,388,"1,3",0.6116407686296217,0.3883592313703783,False,False,False,8,0.5
98,58.52,392,"1,8",0.5302310834345959,0.46976891656540404,False,False,False,8,0.5
99,68.94,396,"1,3",0.6296665891370266,0.37033341086297344,False,False,False,8,0.5
100,63.27,400,"1,3",0.7244711165398925,0.2755288834601075,False,False,False,8,0.5
101,58.81999999999999,404,"1,3",0.6767151218770401,0.32328487812295986,False,False,False,8,0.5
102,55.76,408,"1,3",0.6568827494386222,0.3431172505613778,False,False,False,8,0.5
103,53.790000000000006,412,"1,3",0.5971252025808998,0.40287479741910015,False,False,False,8,0.5
104,52.239999999999995,416,"1,3",0.6481972962513073,0.3518027037486927,False,False,False,8,0.5
105,50.96000000000001,420,"1,3",0.6301427705762385,0.3698572294237615,False,False,False,8,0.5
106,49.93,424,"1,3",0.6451731975036884,0.3548268024963116,False,False,False,8,0.5
107,49.08,428,"1,3",0.5855484478235742,0.4144515521764258,False,False,False,8,0.5
108,48.38,432,"1,3",0.6990822958626868,0.3009177041373133,False,False,False,8,0.5
109,47.71,436,"1,3",0.6408036835630252,0.35919631643697475,False,False,False,8,0.5
110,47.15,440,"1,3",0.6144773158848686,0.38552268411513135,False,False,False,8,0.5
111,46.54,444,"1,3",0.6469212868790009,0.35307871312099914,False,False,False,8,0.5
112,46.19,448,"1,3",0.6280336257940002,0.37196637420599976,False,False,False,8,0.5
113,45.85,452,"1,3",0.5941925395568697,0.4058074604431304,False,False,False,8,0.5
114,45.440000000000005,456,"1,3",0.6251258986307123,0.3748741013692877,False,False,False,8,0.5
115,45.12,460,"1,3",0.6054844723267186,0.3945155276732814,False,False,False,8,0.5
116,44.800000000000004,464,"1,3",0.6894104539974161,0.3105895460025839,False,False,False,8,0.5
117,44.58,468,"1,3",0.5907280520447634,0.4092719479552365,False,False,False,8,0.5
