Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Elapsed Time (s)
187,63.74999999999999,748,"7,3",0.07413274325574681,0.9258672567442532,211.75
188,41.61,752,"2,8",0.16990840360877735,0.8300915963912227,212.89
189,72.35000000000001,756,"6,1",0.16954885024527372,0.8304511497547262,214.07
190,69.83,760,"5,2",0.14646674915325716,0.8535332508467428,215.34
191,77.2,764,"6,7",0.14497918804452964,0.8550208119554703,216.42
192,68.28999999999999,768,"9,4",0.10033750960818695,0.899662490391813,217.56
193,77.89,772,"9,7",0.1139091285880953,0.8860908714119047,218.55
194,67.85,776,"8,4",0.10717597561272033,0.8928240243872797,219.66
195,80.17,780,"9,6",0.09663812075209367,0.9033618792479063,220.64
196,79.72,784,"7,8",0.07379765190831865,0.9262023480916813,221.62
197,71.11,788,"8,9",0.06296209001855749,0.9370379099814425,222.6
198,65.96,792,"7,4",0.06733132965992185,0.9326686703400782,223.71
199,66.71000000000001,796,"7,8",0.10329802554034002,0.8967019744596599,224.7
200,71.11,800,"9,0",0.13390130153007285,0.8660986984699272,225.83
201,56.089999999999996,804,"6,5",0.13069771985742154,0.8693022801425785,226.91
202,63.89,808,"3,8",0.23953280629189,0.76046719370811,228.02
203,73.77,812,"7,8",0.1567986065508863,0.8432013934491137,229.02
204,71.04,816,"9,8",0.12244095146370385,0.8775590485362962,230.01
205,57.21000000000001,820,"7,5",0.0786264935079166,0.9213735064920834,231.11
206,72.44,824,"8,0",0.29051877939608967,0.7094812206039103,232.31
207,54.42,828,"6,5",0.1465810981186267,0.8534189018813733,233.42
208,63.09,832,"3,8",0.29948686000490776,0.7005131399950922,234.6
209,53.89000000000001,836,"7,5",0.23692799150630092,0.763072008493699,235.7
210,64.75999999999999,840,"8,4",0.3042647305707874,0.6957352694292126,236.84
211,79.49000000000001,844,"9,6",0.09571471597627296,0.904285284023727,237.87
212,52.290000000000006,848,"7,2",0.0989290597591216,0.9010709402408784,239.02
213,76.75,852,"6,1",0.17445285589442283,0.8255471441055772,240.2
214,50.74999999999999,856,"2,7",0.13689723296355297,0.8631027670364471,241.33
215,67.43,860,"6,4",0.12752734898252088,0.8724726510174791,242.51
216,78.34,864,"9,7",0.07502508042246935,0.9249749195775306,243.55
217,78.66,868,"4,3",0.17176010339937284,0.8282398966006271,244.82
218,84.47,872,"8,6",0.07105668216500745,0.9289433178349925,245.83
219,64.42,876,"8,5",0.06973672627560551,0.9302632737243945,246.92
220,80.07,880,"0,3",0.22216895106217976,0.7778310489378202,248.16
221,52.6,884,"2,7",0.10173036451485132,0.8982696354851487,249.23
222,80.65,888,"6,9",0.16631796846992056,0.8336820315300795,250.21
223,73.61,892,"7,4",0.05117727299778509,0.9488227270022149,251.32
224,82.98,896,"7,9",0.07280187334617771,0.9271981266538223,252.29
225,50.77,900,"8,2",0.13024992506086677,0.8697500749391333,253.38
226,81.61,904,"6,8",0.19220058071270252,0.8077994192872975,254.39
227,81.62,908,"4,0",0.31639330694160445,0.6836066930583956,255.68
228,77.05,912,"8,9",0.07925735021714794,0.920742649782852,256.69
229,67.30000000000001,916,"7,3",0.057514061856832735,0.9424859381431673,257.87
230,79.97999999999999,920,"0,1",,,259.19
231,59.0,924,"2,9",0.07265869336184107,0.927341306638159,260.37
232,68.92,928,"6,4",0.1978981589127805,0.8021018410872195,261.57
233,78.53,932,"9,6",0.0822452429002299,0.9177547570997701,262.64
234,68.62,936,"7,5",0.0581309357688381,0.9418690642311619,263.78
235,68.71000000000001,940,"8,3",0.14120466840239018,0.8587953315976098,264.97
236,64.60000000000001,944,"5,9",0.145317430305181,0.854682569694819,266.1
237,78.99000000000001,948,"8,0",0.18360396855676328,0.8163960314432367,267.25
238,83.74000000000001,952,"6,7",0.13226541920549192,0.867734580794508,268.26
239,59.86,956,"2,9",0.050372154191672715,0.9496278458083273,269.38
240,84.1,960,"6,8",0.19568036138340392,0.804319638616596,270.43
241,84.05,964,"3,4",0.18413878676085557,0.8158612132391444,271.72
242,79.74,968,"8,1",0.05150652763921674,0.9484934723607833,272.92
243,62.72,972,"7,2",0.13877909103363134,0.8612209089663686,274.06
244,80.91000000000001,976,"6,9",0.1846923523696321,0.8153076476303679,275.1
245,72.94,980,"7,4",0.050810204128427024,0.9491897958715729,276.29
246,68.26,984,"9,5",0.07290550357737208,0.927094496422628,277.44
247,70.28999999999999,988,"8,3",0.15737303442978207,0.842626965570218,278.57
248,78.31,992,"5,1",0.18959442671207347,0.8104055732879265,279.8
249,64.68,996,"2,6",0.24479512782404647,0.7552048721759536,280.96
250,84.39,1000,"8,6",0.16118090581720282,0.8388190941827972,282.0
251,86.06,1004,"7,9",0.19188759177289202,0.808112408227108,283.08
252,75.41,1008,"8,4",0.06687137269153867,0.9331286273084614,284.23
253,84.86,1012,"9,7",0.07378244916387564,0.9262175508361243,285.26
254,74.25,1016,"8,4",0.10403002069862677,0.8959699793013732,286.4
255,67.71000000000001,1020,"9,5",0.06590620764254586,0.9340937923574542,287.5
256,79.22,1024,"8,0",0.18525785402455017,0.8147421459754498,288.64
257,80.57,1028,"2,3",0.06564401621099607,0.934355983789004,289.91
258,80.52,1032,"1,9",0.16614186631275196,0.833858133687248,291.17
259,63.65,1036,"2,8",0.0571433927639003,0.9428566072360997,292.32
260,80.84,1040,"6,9",0.1780791828173281,0.821920817182672,293.34
261,69.73,1044,"7,3",0.1521361688152793,0.8478638311847206,294.52
262,79.03999999999999,1048,"0,1",,,295.87
263,80.63,1052,"2,5",0.07335751509892648,0.9266424849010735,297.19
264,75.14,1056,"8,4",0.09692481665681787,0.9030751833431822,298.4
265,85.50999999999999,1060,"9,7",0.08032808523922266,0.9196719147607774,299.49
266,63.72,1064,"8,2",0.11459778112404444,0.8854022188759556,300.68
267,71.99,1068,"6,4",0.14306614878550053,0.8569338512144995,301.83
268,69.6,1072,"9,3",0.05318797356064111,0.9468120264393589,303.02
269,76.69,1076,"8,1",0.06776739940352901,0.932232600596471,304.17
270,64.78,1080,"7,2",0.13428920387928578,0.8657107961207142,305.34
271,81.89,1084,"8,7",0.15519796851616405,0.8448020314838359,306.41
272,79.73,1088,"8,9",0.05766909746551998,0.94233090253448,307.4
273,71.83,1092,"7,5",0.05372948926057754,0.9462705107394225,308.51
274,71.61,1096,"3,8",0.1770634448759578,0.8229365551240422,309.73
275,78.46,1100,"1,8",0.2160935065183695,0.7839064934816306,310.96
276,68.67999999999999,1104,"2,8",0.06858934679995342,0.9314106532000466,312.12
277,81.6,1108,"6,9",0.2415856752817543,0.7584143247182458,313.15
278,85.33,1112,"7,8",0.05906751022096124,0.9409324897790388,314.21
279,81.85,1116,"9,0",0.057593413849937526,0.9424065861500625,315.38
280,80.96,1120,"2,5",0.06110690415992403,0.938893095840076,316.66
281,75.35,1124,"7,4",0.10224130225703787,0.8977586977429621,317.89
282,85.35000000000001,1128,"9,6",0.06080513187268869,0.9391948681273113,318.93
283,85.32,1132,"8,7",0.09130377834516065,0.9086962216548393,319.95
284,84.55,1136,"3,4",0.2677019548189887,0.7322980451810113,321.21
285,83.93,1140,"8,9",0.04787119627117026,0.9521288037288297,322.23
286,80.67999999999999,1144,"5,4",0.21809282598393653,0.7819071740160635,323.45
287,80.54,1148,"9,8",0.060969281171813244,0.9390307188281868,324.52
288,64.97,1152,"7,2",0.08013650660754319,0.9198634933924568,325.71
289,82.73,1156,"1,6",0.19430105669837466,0.8056989433016254,326.93
290,73.26,1160,"8,3",0.05740404127580199,0.942595958724198,328.11
291,82.15,1164,"0,1",,,329.47
292,80.57,1168,"2,5",0.06112119511351653,0.9388788048864835,330.7
293,75.72,1172,"7,4",0.10192668068159766,0.8980733193184024,331.87
294,84.39,1176,"9,7",0.0555297821853879,0.9444702178146122,332.93
295,77.08,1180,"4,6",0.2121380670648449,0.787861932935155,334.14
296,84.39999999999999,1184,"9,7",0.05986843577324989,0.9401315642267501,335.25
297,68.47999999999999,1188,"8,2",0.07153438203806367,0.9284656179619363,336.34
298,85.95,1192,"6,8",0.11817821362515436,0.8818217863748457,337.33
299,85.77,1196,"4,3",0.20598708779896105,0.794012912201039,338.57
300,84.04,1200,"8,9",0.057919563577256146,0.9420804364227439,339.56
