Experiment,Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff,Avg T-FLOPs
"Exp_A: grc=False, freeze=False",87,61.92999999999999,348,"9,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",88,55.02,352,"6,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",89,65.51,356,"5,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",90,65.03,360,"1,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",91,61.870000000000005,364,"4,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",92,60.480000000000004,368,"2,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",93,70.35,372,"6,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",94,58.42,376,"3,9",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",95,62.27,380,"0,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",96,57.50999999999999,384,"4,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",97,63.01,388,"3,8",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",98,66.82000000000001,392,"1,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",99,57.21000000000001,396,"5,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",100,60.01,400,"8,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",101,66.02,404,"7,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",102,68.71000000000001,408,"9,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",103,64.16,412,"9,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",104,63.56,416,"4,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",105,64.45,420,"1,0",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",106,68.41000000000001,424,"1,5",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",107,65.51,428,"5,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",108,73.39,432,"9,4",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",109,70.89,436,"1,3",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",110,64.95,440,"4,1",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",111,67.69,444,"1,6",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",112,67.05,448,"7,2",NA,NA,3578880.0
"Exp_A: grc=False, freeze=False",113,67.69,452,"5,3",NA,NA,3578880.0
