Round,Accuracy,Total communication counts,Selected Clients,GRC Weight - Loss,GRC Weight - Diff
45,24.3,180,"0,3",0.5792628407588158,0.42073715924118416
46,21.36,184,"0,3",0.5792628407588158,0.42073715924118416
47,36.55,188,"5,4",0.5792628407588158,0.42073715924118416
48,25.0,192,"5,4",0.5792628407588158,0.42073715924118416
49,48.1,196,"6,1",0.5792628407588158,0.42073715924118416
50,29.94,200,"6,1",0.5792628407588158,0.42073715924118416
51,51.949999999999996,204,"7,2",0.5792628407588158,0.42073715924118416
52,27.41,208,"7,2",0.5792628407588158,0.42073715924118416
53,45.79,212,"9,8",0.4638213163404189,0.5361786836595811
54,25.130000000000003,216,"9,8",0.4638213163404189,0.5361786836595811
55,35.42,220,"5,3",0.460722625963925,0.539277374036075
56,17.73,224,"5,3",0.460722625963925,0.539277374036075
57,29.25,228,"0,8",0.5837401477266393,0.4162598522733607
58,24.37,232,"0,8",0.5837401477266393,0.4162598522733607
59,21.47,236,"0,8",0.6352772089848031,0.3647227910151969
60,20.22,240,"0,8",0.6352772089848031,0.3647227910151969
61,25.97,244,"0,3",0.6169352066899587,0.38306479331004134
62,22.55,248,"0,3",0.6169352066899587,0.38306479331004134
63,26.640000000000004,252,"8,0",0.6629230359896467,0.33707696401035325
64,24.25,256,"8,0",0.6629230359896467,0.33707696401035325
65,33.17,260,"0,2",0.6264363270479508,0.3735636729520491
66,23.79,264,"0,2",0.6264363270479508,0.3735636729520491
67,49.25,268,"4,1",0.6264363270479508,0.3735636729520491
68,37.55,272,"4,1",0.6264363270479508,0.3735636729520491
69,55.88999999999999,276,"6,7",0.6264363270479508,0.3735636729520491
70,41.25,280,"6,7",0.6264363270479508,0.3735636729520491
71,52.42,284,"5,9",0.30638540904681244,0.6936145909531876
72,32.26,288,"5,9",0.30638540904681244,0.6936145909531876
73,47.02,292,"0,8",0.6112677655621012,0.38873223443789884
74,25.019999999999996,296,"0,8",0.6112677655621012,0.38873223443789884
75,43.41,300,"2,0",0.5672627586836545,0.4327372413163455
76,28.910000000000004,304,"2,0",0.5672627586836545,0.4327372413163455
77,27.0,308,"8,0",0.6012274634668526,0.39877253653314737
78,22.439999999999998,312,"8,0",0.6012274634668526,0.39877253653314737
79,38.61,316,"3,0",0.568128917074616,0.43187108292538406
80,33.72,320,"3,0",0.568128917074616,0.43187108292538406
81,29.34,324,"0,8",0.6153557368306287,0.3846442631693712
82,25.779999999999998,328,"0,8",0.6153557368306287,0.3846442631693712
83,34.63,332,"0,2",0.5790426852078895,0.42095731479211057
84,26.44,336,"0,2",0.5790426852078895,0.42095731479211057
85,30.459999999999997,340,"8,0",0.5984298637482333,0.4015701362517668
86,26.200000000000003,344,"8,0",0.5984298637482333,0.4015701362517668
87,51.53,348,"1,4",0.5984298637482333,0.4015701362517668
88,39.2,352,"1,4",0.5984298637482333,0.4015701362517668
89,61.19,356,"6,7",0.5984298637482333,0.4015701362517668
90,44.21,360,"6,7",0.5984298637482333,0.4015701362517668
91,55.78999999999999,364,"5,9",0.5984298637482333,0.4015701362517668
92,39.32,368,"5,9",0.5984298637482333,0.4015701362517668
93,51.67,372,"0,8",0.5904991036398585,0.40950089636014153
94,35.04,376,"0,8",0.5904991036398585,0.40950089636014153
95,55.14,380,"2,3",0.5514778415175722,0.44852215848242777
96,43.11,384,"2,3",0.5514778415175722,0.44852215848242777
97,46.08,388,"8,5",0.44730556333383215,0.5526944366661678
98,29.37,392,"8,5",0.44730556333383215,0.5526944366661678
99,43.87,396,"3,0",0.5153950438541053,0.4846049561458947
100,36.71,400,"3,0",0.5153950438541053,0.4846049561458947
101,33.160000000000004,404,"8,0",0.5677405895676988,0.4322594104323012
102,28.970000000000002,408,"8,0",0.5677405895676988,0.4322594104323012
103,39.46,412,"0,2",0.6101427292259946,0.38985727077400545
104,32.83,416,"0,2",0.6101427292259946,0.38985727077400545
105,33.300000000000004,420,"0,8",0.6448859850741672,0.3551140149258329
106,29.69,424,"0,8",0.6448859850741672,0.3551140149258329
107,54.910000000000004,428,"1,4",0.6448859850741672,0.3551140149258329
108,44.879999999999995,432,"1,4",0.6448859850741672,0.3551140149258329
109,65.72,436,"6,7",0.6448859850741672,0.3551140149258329
110,50.51,440,"6,7",0.6448859850741672,0.3551140149258329
111,59.550000000000004,444,"9,5",0.6448859850741672,0.3551140149258329
112,44.4,448,"9,5",0.6448859850741672,0.3551140149258329
113,58.650000000000006,452,"8,3",0.5602302301964391,0.43976976980356086
114,50.21,456,"8,3",0.5602302301964391,0.43976976980356086
115,61.0,460,"2,0",0.5194998051409111,0.4805001948590889
116,50.470000000000006,464,"2,0",0.5194998051409111,0.4805001948590889
117,50.88,468,"0,8",0.5950517768141872,0.40494822318581275
118,41.18,472,"0,8",0.5950517768141872,0.40494822318581275
119,54.35,476,"0,5",0.5694542256644204,0.43054577433557967
120,36.25,480,"0,5",0.5694542256644204,0.43054577433557967
121,43.57,484,"3,8",0.5759673404103645,0.42403265958963554
122,38.49,488,"3,8",0.5759673404103645,0.42403265958963554
123,55.66,492,"9,4",0.3909058120787562,0.6090941879212438
124,53.09,496,"9,4",0.3909058120787562,0.6090941879212438
125,59.69,500,"8,7",0.478074148599838,0.521925851400162
126,45.5,504,"8,7",0.478074148599838,0.521925851400162
127,65.36999999999999,508,"1,6",0.478074148599838,0.521925851400162
128,57.720000000000006,512,"1,6",0.478074148599838,0.521925851400162
129,67.2,516,"5,2",0.3271594430975704,0.6728405569024296
130,47.29,520,"5,2",0.3271594430975704,0.6728405569024296
131,67.45,524,"8,3",0.4514351887696848,0.5485648112303152
132,58.919999999999995,528,"8,3",0.4514351887696848,0.5485648112303152
133,65.10000000000001,532,"9,0",0.44353971937204567,0.5564602806279543
134,54.99000000000001,536,"9,0",0.44353971937204567,0.5564602806279543
135,55.97,540,"0,8",0.5773161288647968,0.4226838711352032
136,48.88,544,"0,8",0.5773161288647968,0.4226838711352032
137,61.61,548,"0,5",0.591042498864622,0.40895750113537804
138,45.98,552,"0,5",0.591042498864622,0.40895750113537804
139,53.23,556,"3,8",0.5982568367365521,0.40174316326344794
140,47.69,560,"3,8",0.5982568367365521,0.40174316326344794
141,60.99,564,"4,2",0.34506023120965834,0.6549397687903417
142,50.72,568,"4,2",0.34506023120965834,0.6549397687903417
143,52.52,572,"8,9",0.4755885825905489,0.5244114174094511
